Symbol,Mint,Entry Time (IST),Close Time (IST),Hold Time,Entry Price ($),Exit Price ($),Size (SOL),Realized PNL (SOL),PNL %,TP1 Hit,TP2 Hit,Close Reason,TX Signature
"Kilocorn","D7HeqB98JzrhgkWPwnwrBLBZYCfVCJ2C6HC3BVG5pump","10 Jun, 05:59 pm","10 Jun, 05:59 pm","43s","0.00001875","0.00001487","0.1","-0.020693","-20.69","No","No","Staged SL: -21% in first 2m","35XCG9MFhTF1fNoVbfsTmNUkkYb3DKcgNeheiW57rBfJWkTFu4fqNYUThMx2S8ePEPsSdYwTHdwAqpK48ZU8jbbh"
"Manga","6kr35dzgFjYoy9vCtpRWz9vAqGyc7tavuuHsYT3xpump","10 Jun, 05:57 pm","10 Jun, 05:58 pm","1m","0.0000191","0.000001482","0.1","-0.092241","-92.24","No","No","Liquidity Rug: -81% in 30s","4BEHuv4D8V4q6SookP5LkuCeSK8cbeL9LzCxKmiQ4P3vkXvyaUxWUWwqobfK76WGfRvBAC8cXg4kF1YF9HcVE3h4"
"WIF","CdCDJjCjN8rujJxuHby6M3i44mHoQsacMdGy9i1jpump","10 Jun, 05:55 pm","10 Jun, 05:56 pm","44s","0.00005825","0.00004587","0.1","-0.021253","-21.25","No","No","Staged SL: -21% in first 2m","2vBrdHfujzXPT9zaT7tTybQWjsGAF22kZfbAhmtQVHmBcRaySVjHe4HDuVcbmCdnEJGYTesejgPgxi5KFV1xzsjh"
"Teracorn","GsMGZxCUbc2wvVVmFL4SaDgLKBAbnrkbU6S49MkFpump","10 Jun, 05:49 pm","10 Jun, 05:54 pm","4m","0.00002121","0.00001908","0.1","-0.010042","-10.04","No","No","Staged SL: -31% from peak (2-10m)","3fFvknhURNuP1bY5v5WB6DJSmzccwQNmLjq5TGUYaigfoB9qiPJiEAPsT8JSgBzFp3yLvna6NzhzSayZ9kYtvHrP"
"CYBER","7J5pp54YwSNhqungZUWvojgGB7ws3WihkXMUiq1ipump","10 Jun, 05:41 pm","10 Jun, 06:01 pm","20m","0.00002567","0.00003838","0.1","0.049513","49.51","No","No","Staged SL: -32% from peak (>10m)","35YNKmLqfAh2K2HLL9dUNqdndaZ8yhFM5CFhMK5MutmJunvT3SRTSit6uFYcqPGJEJjsW95BDxmP9Ct3TMn5seRx"
"ROS","GHHkHZpXu2CUqKirNnAR9NhjDPftP1QiojrFiM9Zpump","10 Jun, 04:52 pm","10 Jun, 05:00 pm","7m","0.0000245","0.00002207","0.1","-0.009918","-9.92","No","No","Staged SL: -39% from peak (2-10m)","4PzgFYPK6wbjpCA1UAwMxGR5nNm4K7dihAr1fb7CPhK2DVhzuMPDwUFKyZpWcu2DCfDp28ZTeddJKdx9BFNGMqGr"
"CRYPTO","XUuqffce1wPzFkixHN6P5zAVhaLoKCQkrqgqvEGpump","10 Jun, 04:17 pm","10 Jun, 06:18 pm","2h 0m","0.0000261","0.0000261","0.1","0.000000","0.00","No","No","Dead — No Momentum","4VP6bD9zh9t1wXGDNgbBx8mBroav9FBvYSix2D1nLTvzokSNethFtbKy82vpGE2fQugYAiD7tpdEUJJLXFZPantS"
"AURA","BFBwDbNpf5QponVJyaAGFpKPiCXnbtuXqGWzugHzpump","10 Jun, 04:09 pm","10 Jun, 04:28 pm","18m","0.00002525","0.00001875","0.1","-0.025743","-25.74","No","No","Staged SL: -37% from peak (>10m)","3wnDzdePUFaEgVfpxKHoz5BH2KRbLdMudc9bG2hBxDxRsGww3g5ePdkvDoHxUcYaCXbriVzmKDE8hsaK1qj1ALHU"
"MMG","An9cGvL6bHtWHDdtgpt7CQd9byMpPg7TpnFWofgLpump","10 Jun, 04:01 pm","10 Jun, 04:06 pm","4m","0.00002292","0.0000302","0.1","0.031763","31.76","No","No","Staged SL: -28% from peak (2-10m)","2Ly9e6prPNqDG2uG39XGWiQ275pyiEzRDjn3soSHygYoZxxR4nGzMPmNWiABUugrqz4nWanN9KFqJDbLy9vSgbRF"
"ANTE","AtJ351dUKdWz8MP1pQCK5UxyVqdkjyr61vXCgegQpump","10 Jun, 03:59 pm","10 Jun, 04:10 pm","11m","0.00002521","0.00004281","0.1","0.106132","106.13","Yes","No","Staged SL: -35% from TP1 peak","4Yu2dE9sRxF8pgoTCjXrmxoffsD8McYe2U27tit4fw9Wuyn6Q3JSfsgg39avASv9yULMtq6UAYWkYXWV9sAqsFPX"
